"","Html Form","Attachments","Flash content","Html iFrame","HTML content","URLs","External Resources","Javascript","Css","IPs in URLs","@ in URLs","Encoding","Phishy"
"0","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"1","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"2","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"3","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"4","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"5","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"6","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"7","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"8","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"9","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"10","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"11","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"12","False","0","False","False","True","1","0","0","0","False","False","7bit","False"
"13","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"14","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"15","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"16","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"17","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"18","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"19","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"20","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"21","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"22","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"23","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"24","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"25","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"26","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"27","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"28","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"29","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"30","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"31","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"32","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"33","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"34","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"35","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"36","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"37","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"38","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"39","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"40","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"41","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"42","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"43","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"44","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"45","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"46","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"47","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"48","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"49","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"50","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"51","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"52","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"53","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"54","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"55","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"56","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"57","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"58","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"59","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"60","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
"61","False","0","False","False","True","0","0","0","0","False","False","7bit","False"
