"","Html Form","Attachments","Flash content","Html iFrame","HTML content","URLs","External Resources","Javascript","Css","IPs in URLs","@ in URLs","Encoding","Phishy"
"0","False","0","False","False","True","24","0","0","0","True","False","none","True"
"1","False","0","False","False","True","2","0","0","0","False","False","none","True"
"2","False","0","False","False","True","2","0","0","0","False","False","none","True"
"3","False","0","False","False","True","2","0","0","0","True","False","none","True"
"4","True","0","False","False","True","34","0","0","0","True","False","none","True"
"5","False","0","False","False","True","23","0","0","0","False","False","none","True"
"6","False","0","False","False","True","23","0","0","0","False","False","none","True"
"7","False","0","False","False","True","23","0","0","0","False","False","none","True"
"8","True","0","False","False","True","5","0","0","0","True","False","none","True"
"9","False","0","False","False","True","7","0","0","0","False","False","none","True"
"10","False","0","False","False","True","23","0","0","0","False","False","none","True"
"11","False","0","False","False","True","7","0","0","0","True","False","none","True"
"12","False","0","False","False","True","13","0","0","0","True","False","none","True"
"13","False","0","False","False","True","11","0","0","0","False","False","none","True"
"14","False","0","False","False","True","10","0","0","0","False","False","none","True"
"15","False","0","False","False","True","2","0","0","0","False","False","none","True"
"16","True","0","False","False","True","5","0","0","0","True","False","none","True"
"17","True","0","False","False","True","62","0","0","0","False","False","none","True"
"18","False","0","False","False","True","4","0","0","0","False","False","none","True"
"19","False","0","False","False","True","3","0","0","0","False","False","none","True"
"20","False","0","False","False","True","6","0","0","0","True","False","none","True"
"21","False","0","False","False","True","1","0","0","0","True","False","none","True"
"22","False","0","False","False","True","24","0","0","0","False","False","none","True"
"23","True","0","False","False","True","5","0","0","0","True","False","none","True"
"24","True","0","False","False","True","62","0","0","0","False","False","none","True"
"25","False","0","False","False","True","4","0","0","0","False","False","none","True"
"26","False","0","False","False","True","3","0","0","0","False","False","none","True"
"27","False","0","False","False","True","25","0","0","0","True","False","none","True"
"28","False","0","False","False","True","1","0","0","0","True","False","none","True"
"29","False","0","False","False","True","4","0","0","0","True","False","none","True"
"30","False","0","False","False","True","3","0","0","0","False","False","none","True"
"31","False","0","False","False","True","4","0","0","0","True","False","none","True"
"32","False","0","False","False","True","27","0","0","0","False","False","none","True"
"33","False","0","False","False","True","7","0","0","0","False","False","none","True"
"34","False","0","False","False","True","27","0","0","0","False","False","none","True"
"35","False","0","False","False","True","27","0","0","0","False","False","none","True"
"36","False","0","False","False","True","27","0","0","0","False","False","none","True"
"37","False","0","False","False","True","27","0","0","0","False","False","none","True"
"38","False","0","False","False","True","27","0","0","0","False","False","none","True"
"39","False","0","False","False","True","27","0","0","0","False","False","none","True"
"40","False","0","False","False","True","27","0","0","0","False","False","none","True"
"41","False","0","False","False","True","27","0","0","0","False","False","none","True"
"42","False","0","False","False","True","4","0","0","0","True","False","none","True"
"43","False","0","False","False","True","27","0","0","0","False","False","none","True"
"44","False","0","False","False","True","27","0","0","0","False","False","none","True"
"45","False","0","False","False","True","14","0","0","0","False","False","none","True"
"46","False","0","False","False","True","14","0","0","0","False","False","none","True"
"47","False","0","False","False","True","13","0","0","0","False","False","none","True"
"48","False","0","False","False","True","2","0","0","0","False","False","none","True"
"49","False","0","False","False","True","7","0","0","0","False","False","none","True"
"50","False","0","False","False","True","14","0","0","0","False","False","none","True"
"51","False","0","False","False","True","2","0","0","0","True","False","none","True"
"52","False","0","False","False","True","11","0","0","0","True","False","none","True"
"53","True","0","False","False","True","34","0","0","0","True","False","none","True"
"54","False","0","False","False","True","3","0","0","0","True","False","none","True"
"55","False","0","False","False","True","3","0","0","0","True","False","none","True"
"56","False","0","False","False","True","13","0","0","0","False","False","none","True"
"57","False","0","False","False","True","3","0","0","0","True","False","none","True"
"58","False","0","False","False","True","9","0","0","0","True","False","none","True"
"59","False","0","False","False","True","14","0","0","0","False","False","none","True"
"60","False","0","False","False","True","3","0","0","0","True","False","none","True"
"61","False","0","False","False","True","23","0","0","0","False","False","none","True"
"62","True","0","False","False","True","6","0","0","0","True","False","none","True"
"63","True","0","False","False","True","6","0","0","0","False","False","none","True"
"64","True","0","False","False","True","6","0","0","0","True","False","none","True"
"65","False","0","False","False","True","22","0","0","0","False","False","none","True"
"66","False","0","False","False","True","3","0","0","0","False","False","none","True"
"67","False","0","False","False","True","2","0","0","0","False","False","none","True"
"68","False","0","False","False","True","2","0","0","0","True","False","none","True"
"69","False","0","False","False","True","2","0","0","0","False","False","none","True"
"70","True","0","False","False","True","5","0","0","0","False","False","none","True"
"71","False","0","False","False","True","2","0","0","0","False","False","none","True"
"72","False","0","False","False","True","13","0","0","0","True","False","none","True"
"73","False","0","False","False","True","5","0","0","0","True","False","none","True"
"74","False","0","False","False","True","5","0","0","0","True","False","none","True"
"75","False","0","False","False","True","13","0","0","0","False","False","none","True"
"76","False","0","False","False","True","11","0","0","0","True","False","none","True"
"77","False","0","False","False","True","11","0","0","0","True","False","none","True"
"78","False","0","False","False","True","11","0","0","0","True","False","none","True"
"79","False","0","False","False","True","13","0","0","0","True","False","none","True"
"80","False","0","False","False","True","4","0","0","0","True","False","none","True"
"81","True","0","False","False","True","5","0","0","0","True","False","none","True"
"82","False","0","False","False","True","13","0","0","0","True","False","none","True"
"83","False","0","False","False","True","3","0","0","0","True","False","none","True"
"84","False","0","False","False","True","5","0","0","0","True","False","none","True"
"85","False","0","False","False","True","13","0","0","0","True","False","none","True"
"86","False","0","False","False","True","3","0","0","0","False","False","none","True"
"87","False","0","False","False","True","15","0","0","0","False","False","none","True"
"88","True","0","False","False","True","34","0","0","0","True","False","none","True"
"89","True","0","False","False","True","34","0","0","0","True","False","none","True"
"90","True","0","False","False","True","34","0","0","0","True","False","none","True"
"91","False","0","False","False","True","5","0","0","0","True","False","none","True"
"92","True","0","False","False","True","5","0","0","0","True","False","none","True"
"93","True","0","False","False","True","92","0","0","0","False","False","none","True"
"94","False","0","False","False","True","24","0","0","0","False","False","none","True"
"95","False","0","False","False","True","5","0","0","0","False","False","none","True"
"96","False","0","False","False","True","1","0","0","0","False","False","none","True"
"97","False","0","False","False","True","1","0","0","0","False","False","none","True"
"98","False","0","False","False","True","1","0","0","0","False","False","none","True"
"99","False","0","False","False","True","2","0","0","0","True","False","none","True"
"100","False","0","False","False","True","1","0","0","0","False","False","none","True"
"101","False","0","False","False","True","31","0","0","0","True","False","none","True"
"102","False","0","False","False","True","4","0","0","0","True","False","none","True"
"103","False","0","False","False","True","2","0","0","0","True","False","none","True"
"104","True","0","False","False","True","6","0","0","0","True","False","none","True"
"105","False","0","False","False","True","14","0","0","0","True","False","none","True"
"106","False","0","False","False","True","13","0","0","0","False","False","none","True"
"107","True","0","False","False","True","5","0","0","0","True","False","none","True"
"108","False","0","False","False","True","22","0","0","0","True","False","none","True"
"109","False","0","False","False","True","12","0","0","0","False","False","none","True"
"110","False","0","False","False","True","14","0","0","0","True","False","none","True"
"111","False","0","False","False","True","22","0","0","0","True","False","none","True"
"112","False","0","False","False","True","14","0","0","0","False","False","none","True"
"113","False","0","False","False","True","14","0","0","0","False","False","none","True"
"114","False","0","False","False","True","2","0","0","0","False","False","none","True"
"115","True","0","False","False","True","6","0","0","0","True","False","none","True"
"116","False","0","False","False","True","9","0","0","0","False","False","none","True"
"117","False","0","False","False","True","22","0","0","0","True","False","none","True"
"118","False","0","False","False","True","8","0","0","0","False","False","none","True"
"119","False","0","False","False","True","2","0","0","0","True","False","none","True"
"120","False","0","False","False","True","4","0","0","0","True","False","none","True"
"121","True","0","False","False","True","5","0","0","0","True","False","none","True"
"122","False","0","False","False","True","2","0","0","0","False","False","none","True"
"123","False","0","False","False","True","4","0","0","0","False","False","none","True"
"124","False","0","False","False","True","22","0","0","0","True","False","none","True"
"125","False","0","False","False","True","5","0","0","0","True","False","none","True"
"126","False","0","False","False","True","3","0","0","0","False","False","none","True"
"127","False","0","False","False","True","7","0","0","0","False","False","none","True"
"128","False","0","False","False","True","3","0","0","0","False","False","none","True"
"129","False","0","False","False","True","4","0","0","0","False","False","none","True"
"130","False","0","False","False","True","5","0","0","0","True","False","none","True"
"131","False","0","False","False","True","8","0","0","0","True","False","none","True"
"132","False","0","False","False","True","6","0","0","0","False","False","none","True"
"133","False","0","False","False","True","14","0","0","0","False","False","none","True"
"134","False","0","False","False","True","5","0","0","0","True","False","none","True"
"135","False","0","False","False","True","16","0","0","0","False","False","none","True"
"136","True","0","False","False","True","5","0","0","0","True","False","none","True"
"137","False","0","False","False","True","16","0","0","0","False","False","none","True"
"138","False","0","False","False","True","7","0","0","0","False","False","none","True"
"139","False","0","False","False","True","14","0","0","0","False","False","none","True"
"140","False","0","False","False","True","14","0","0","0","False","False","none","True"
"141","False","0","False","False","True","14","0","0","0","False","False","none","True"
"142","False","0","False","False","True","7","0","0","0","False","False","none","True"
"143","False","0","False","False","True","7","0","0","0","False","False","none","True"
"144","False","0","False","False","True","7","0","0","0","False","False","none","True"
"145","False","0","False","False","True","14","0","0","0","False","False","none","True"
"146","True","0","False","False","True","29","0","0","0","False","False","none","True"
"147","False","0","False","False","True","3","0","0","0","False","False","none","True"
"148","False","0","False","False","True","13","0","0","0","True","False","none","True"
"149","False","0","False","False","True","2","0","0","0","True","False","none","True"
"150","False","0","False","False","True","2","0","0","0","True","False","none","True"
"151","True","0","False","False","True","23","0","0","0","True","False","none","True"
"152","False","0","False","False","True","2","0","0","0","True","False","none","True"
"153","False","0","False","False","True","14","0","0","0","False","False","none","True"
"154","True","0","False","False","True","101","0","0","0","False","False","none","True"
"155","False","0","False","False","True","24","0","0","0","True","False","none","True"
"156","False","0","False","False","True","24","0","0","0","True","False","none","True"
"157","False","0","False","False","True","3","0","0","0","False","False","none","True"
"158","False","0","False","False","True","16","0","0","0","False","False","none","True"
"159","False","0","False","False","True","1","0","0","0","False","False","none","True"
"160","False","0","False","False","True","12","0","0","0","True","False","none","True"
"161","False","0","False","False","True","13","0","0","0","True","False","none","True"
"162","False","0","False","False","True","2","0","0","0","False","False","none","True"
"163","False","0","False","False","True","1","0","0","0","False","False","none","True"
"164","False","0","False","False","True","12","0","0","0","False","False","none","True"
"165","False","0","False","False","True","12","0","0","0","False","False","none","True"
"166","False","0","False","False","True","23","0","0","0","False","False","none","True"
"167","False","0","False","False","True","7","0","0","0","False","False","none","True"
"168","False","0","False","False","True","24","0","0","0","False","False","none","True"
"169","False","0","False","False","True","3","0","0","0","True","False","none","True"
"170","False","0","False","False","True","9","0","0","0","True","False","none","True"
"171","False","0","False","False","True","6","0","0","0","True","False","none","True"
"172","False","0","False","False","True","2","0","0","0","False","False","none","True"
"173","False","0","False","False","True","6","0","0","0","True","False","none","True"
"174","False","0","False","False","True","14","0","0","0","True","False","none","True"
"175","False","0","False","False","True","2","0","0","0","True","False","none","True"
"176","False","0","False","False","True","5","0","0","0","False","False","none","True"
"177","False","0","False","False","True","14","0","0","0","True","False","none","True"
"178","False","0","False","False","True","14","0","0","0","True","False","none","True"
"179","False","0","False","False","True","14","0","0","0","True","False","none","True"
"180","False","0","False","False","True","39","0","0","0","True","False","none","True"
"181","False","0","False","False","True","3","0","0","0","True","False","none","True"
"182","False","0","False","False","True","3","0","0","0","True","False","none","True"
"183","False","0","False","False","True","3","0","0","0","True","False","none","True"
"184","False","0","False","False","True","3","0","0","0","True","False","none","True"
"185","False","0","False","False","True","3","0","0","0","True","False","none","True"
"186","False","0","False","False","True","3","0","0","0","True","False","none","True"
"187","False","0","False","False","True","3","0","0","0","True","False","none","True"
"188","False","0","False","False","True","3","0","0","0","True","False","none","True"
"189","False","0","False","False","True","3","0","0","0","True","False","none","True"
"190","False","0","False","False","True","3","0","0","0","True","False","none","True"
"191","False","0","False","False","True","3","0","0","0","True","False","none","True"
"192","False","0","False","False","True","3","0","0","0","True","False","none","True"
"193","False","0","False","False","True","3","0","0","0","True","False","none","True"
"194","False","0","False","False","True","3","0","0","0","True","False","none","True"
"195","False","0","False","False","True","3","0","0","0","True","False","none","True"
"196","False","0","False","False","True","3","0","0","0","True","False","none","True"
"197","False","0","False","False","True","3","0","0","0","True","False","none","True"
"198","False","0","False","False","True","21","0","0","0","True","False","none","True"
"199","False","0","False","False","True","6","0","0","0","True","False","none","True"
"200","False","0","False","False","True","7","0","0","0","True","False","none","True"
"201","False","0","False","False","True","2","0","0","0","False","False","none","True"
"202","False","0","False","False","True","16","0","0","0","True","False","none","True"
"203","False","0","False","False","True","8","0","0","0","False","False","none","True"
"204","False","0","False","False","True","15","0","0","0","True","False","none","True"
"205","False","0","False","False","True","14","0","0","0","True","False","none","True"
"206","False","0","False","False","True","2","0","0","0","True","False","none","True"
"207","False","0","False","False","True","15","0","0","0","True","False","none","True"
"208","False","0","False","False","True","5","0","0","0","True","False","none","True"
"209","False","0","False","False","True","15","0","0","0","True","False","none","True"
"210","False","0","False","False","True","5","0","0","0","True","False","none","True"
"211","False","0","False","False","True","4","0","0","0","False","False","none","True"
"212","False","0","False","False","True","4","0","0","0","True","False","none","True"
"213","False","0","False","False","True","5","0","0","0","False","False","none","True"
"214","False","0","False","False","True","5","0","0","0","False","False","none","True"
"215","False","0","False","False","True","10","0","0","0","False","False","none","True"
"216","False","0","False","False","True","4","0","0","0","True","False","none","True"
"217","False","0","False","False","True","4","0","0","0","True","False","none","True"
"218","False","0","False","False","True","6","0","0","0","True","False","none","True"
"219","False","0","False","False","True","13","0","0","0","False","False","none","True"
"220","False","0","False","False","True","51","0","0","0","True","False","none","True"
"221","False","0","False","False","True","11","0","0","0","True","False","none","True"
"222","False","0","False","False","True","18","0","0","0","True","False","none","True"
"223","False","0","False","False","True","1","0","0","0","True","False","none","True"
"224","False","0","False","False","True","4","0","0","0","True","False","none","True"
"225","False","0","False","False","True","15","0","0","0","True","False","none","True"
"226","False","0","False","False","True","12","0","0","0","True","False","none","True"
"227","False","0","False","False","True","14","0","0","0","True","False","none","True"
"228","False","0","False","False","True","2","0","0","0","True","False","none","True"
"229","False","0","False","False","True","11","0","0","0","True","False","none","True"
"230","False","0","False","False","True","2","0","0","0","True","False","none","True"
"231","False","0","False","False","True","2","0","0","0","True","False","none","True"
"232","False","0","False","False","True","6","0","0","0","True","False","none","True"
"233","False","0","False","False","True","4","0","0","0","True","False","none","True"
"234","False","0","False","False","True","7","0","0","0","True","False","none","True"
"235","False","0","False","False","True","13","0","0","0","False","False","none","True"
"236","False","0","False","False","True","24","0","0","0","True","False","none","True"
"237","True","0","False","False","True","54","0","0","0","False","False","none","True"
"238","False","0","False","False","True","3","0","0","0","True","False","none","True"
"239","False","0","False","False","True","4","0","0","0","True","False","none","True"
"240","False","0","False","False","True","26","0","0","0","True","False","none","True"
"241","False","0","False","False","True","9","0","0","0","False","False","none","True"
"242","False","0","False","False","True","6","0","0","0","True","False","none","True"
"243","False","0","False","False","True","16","0","0","0","True","False","none","True"
"244","False","0","False","False","True","2","0","0","0","True","False","none","True"
"245","False","0","False","False","True","2","0","0","0","False","False","none","True"
"246","False","0","False","False","True","14","0","0","0","True","False","none","True"
"247","False","0","False","False","True","6","0","0","0","True","False","none","True"
"248","False","0","False","False","True","24","0","0","0","False","False","none","True"
"249","False","0","False","False","True","2","0","0","0","True","False","none","True"
"250","False","0","False","False","True","8","0","0","0","False","False","none","True"
"251","False","0","False","False","True","2","0","0","0","True","False","none","True"
"252","False","0","False","False","True","59","0","0","0","False","False","none","True"
"253","False","0","False","False","True","2","0","0","0","True","False","none","True"
"254","False","0","False","False","True","3","0","0","0","True","False","none","True"
"255","False","0","False","False","True","3","0","0","0","True","False","none","True"
"256","False","0","False","False","True","16","0","0","0","False","False","none","True"
"257","False","0","False","False","True","12","0","0","0","True","False","none","True"
"258","False","0","False","False","True","0","0","0","0","False","False","none","True"
"259","False","0","False","False","True","2","0","0","0","True","False","none","True"
"260","False","0","False","False","True","6","0","0","0","False","False","none","True"
"261","False","0","False","False","True","16","0","0","0","False","False","none","True"
"262","False","0","False","False","True","5","0","0","0","True","False","none","True"
"263","False","0","False","False","True","2","0","0","0","True","False","none","True"
"264","False","0","False","False","True","2","0","0","0","True","False","none","True"
"265","False","0","False","False","True","3","0","0","0","True","False","none","True"
"266","False","0","False","False","True","15","0","0","0","True","False","none","True"
"267","False","0","False","False","True","20","0","0","0","True","False","none","True"
"268","False","0","False","False","True","4","0","0","0","False","False","none","True"
"269","False","0","False","False","True","6","0","0","0","True","False","none","True"
"270","False","0","False","False","True","8","0","0","0","False","False","none","True"
"271","False","0","False","False","True","7","0","0","0","True","False","none","True"
"272","False","0","False","False","True","2","0","0","0","False","False","none","True"
"273","False","0","False","False","True","7","0","0","0","True","False","none","True"
"274","False","0","False","False","True","6","0","0","0","True","False","none","True"
"275","False","0","False","False","True","6","0","0","0","True","False","none","True"
"276","False","0","False","False","True","6","0","0","0","True","False","none","True"
"277","False","0","False","False","True","20","0","0","0","False","False","none","True"
"278","False","0","False","False","True","9","0","0","0","True","False","none","True"
"279","False","0","False","False","True","3","0","0","0","True","False","none","True"
"280","False","0","False","False","True","20","0","0","0","False","False","none","True"
"281","False","0","False","False","True","6","0","0","0","True","False","none","True"
"282","False","0","False","False","True","4","0","0","0","True","False","none","True"
"283","False","0","False","False","True","4","0","0","0","True","False","none","True"
"284","False","0","False","False","True","1","0","0","0","False","False","none","True"
"285","False","0","False","False","True","4","0","0","0","False","False","none","True"
"286","False","0","False","False","True","4","0","0","0","True","False","none","True"
"287","False","0","False","False","True","5","0","0","0","True","False","none","True"
"288","False","0","False","False","True","2","0","0","0","True","False","none","True"
"289","False","0","False","False","True","5","0","0","0","True","False","none","True"
"290","False","0","False","False","True","2","0","0","0","True","False","none","True"
"291","False","0","False","False","True","2","0","0","0","True","False","none","True"
"292","False","0","False","False","True","16","0","0","0","True","False","none","True"
"293","False","0","False","False","True","4","0","0","0","True","False","none","True"
"294","False","0","False","False","True","14","0","0","0","True","False","none","True"
"295","False","0","False","False","True","15","0","0","0","True","False","none","True"
"296","False","0","False","False","True","19","0","0","0","False","False","none","True"
"297","False","0","False","False","True","4","0","0","0","True","False","none","True"
"298","False","0","False","False","True","4","0","0","0","True","False","none","True"
"299","False","0","False","False","True","9","0","0","0","False","False","none","True"
"300","False","0","False","False","True","12","0","0","0","True","False","none","True"
"301","False","0","False","False","True","5","0","0","0","True","False","none","True"
"302","False","0","False","False","True","5","0","0","0","False","False","none","True"
"303","False","0","False","False","True","8","0","0","0","True","False","none","True"
"304","False","0","False","False","True","3","0","0","0","True","False","none","True"
"305","False","0","False","False","True","17","0","0","0","True","False","none","True"
"306","False","0","False","False","True","2","0","0","0","False","False","none","True"
"307","False","0","False","False","True","16","0","0","0","True","False","none","True"
"308","False","0","False","False","True","17","0","0","0","True","False","none","True"
"309","False","0","False","False","True","1","0","0","0","True","False","none","True"
"310","False","0","False","False","True","9","0","0","0","True","False","none","True"
"311","False","0","False","False","True","5","0","0","0","True","False","none","True"
"312","False","0","False","False","True","4","0","0","0","False","False","none","True"
"313","False","0","False","False","True","3","0","0","0","True","False","none","True"
"314","False","0","False","False","True","5","0","0","0","True","False","none","True"
"315","False","0","False","False","True","10","0","0","0","True","False","none","True"
"316","False","0","False","False","True","6","0","0","0","True","False","none","True"
"317","False","0","False","False","True","1","0","0","0","True","False","none","True"
"318","False","0","False","False","True","1","0","0","0","True","False","none","True"
"319","False","0","False","False","True","8","0","0","0","False","False","none","True"
"320","False","0","False","False","True","6","0","0","0","True","False","none","True"
"321","False","0","False","False","True","3","0","0","0","False","False","none","True"
"322","False","0","False","False","True","8","0","0","0","False","False","none","True"
"323","False","0","False","False","True","3","0","0","0","False","False","none","True"
"324","False","0","False","False","True","5","0","0","0","False","False","none","True"
"325","False","0","False","False","True","17","0","0","0","True","False","none","True"
"326","False","0","False","False","True","1","0","0","0","False","False","none","True"
"327","False","0","False","False","True","2","0","0","0","True","False","none","True"
"328","False","0","False","False","True","1","0","0","0","False","False","none","True"
"329","False","0","False","False","True","16","0","0","0","True","False","none","True"
"330","False","0","False","False","True","16","0","0","0","True","False","none","True"
"331","False","0","False","False","True","5","0","0","0","False","False","none","True"
"332","False","0","False","False","True","5","0","0","0","False","False","none","True"
"333","False","0","False","False","True","5","0","0","0","False","False","none","True"
"334","False","0","False","False","True","5","0","0","0","False","False","none","True"
"335","False","0","False","False","True","5","0","0","0","False","False","none","True"
"336","False","0","False","False","True","5","0","0","0","False","False","none","True"
"337","False","0","False","False","True","5","0","0","0","False","False","none","True"
"338","False","0","False","False","True","5","0","0","0","False","False","none","True"
"339","False","0","False","False","True","5","0","0","0","False","False","none","True"
"340","False","0","False","False","True","5","0","0","0","False","False","none","True"
"341","False","0","False","False","True","5","0","0","0","False","False","none","True"
"342","False","0","False","False","True","5","0","0","0","False","False","none","True"
"343","False","0","False","False","True","5","0","0","0","False","False","none","True"
"344","False","0","False","False","True","5","0","0","0","False","False","none","True"
"345","False","0","False","False","True","12","0","0","0","True","False","none","True"
"346","False","0","False","False","True","17","0","0","0","True","False","none","True"
"347","False","0","False","False","True","6","0","0","0","True","False","none","True"
"348","False","0","False","False","True","3","0","0","0","True","False","none","True"
"349","False","0","False","False","True","1","0","0","0","True","False","none","True"
"350","False","0","False","False","True","1","0","0","0","True","False","none","True"
"351","False","0","False","False","True","1","0","0","0","True","False","none","True"
"352","False","0","False","False","True","1","0","0","0","True","False","none","True"
"353","False","0","False","False","True","1","0","0","0","True","False","none","True"
"354","False","0","False","False","True","6","0","0","0","True","False","none","True"
"355","False","0","False","False","True","4","0","0","0","True","False","none","True"
"356","False","0","False","False","True","1","0","0","0","True","False","none","True"
"357","False","0","False","False","True","4","0","0","0","True","False","none","True"
"358","False","0","False","False","True","1","0","0","0","True","False","none","True"
"359","False","0","False","False","True","1","0","0","0","True","False","none","True"
"360","False","0","False","False","True","17","0","0","0","False","False","none","True"
"361","False","0","False","False","True","13","0","0","0","True","False","none","True"
"362","False","0","False","False","True","13","0","0","0","True","False","none","True"
"363","False","0","False","False","True","3","0","0","0","True","False","none","True"
"364","False","0","False","False","True","16","0","0","0","True","False","none","True"
"365","True","0","False","False","True","70","0","0","0","False","False","none","True"
"366","False","0","False","False","True","4","0","0","0","True","False","none","True"
"367","False","0","False","False","True","6","0","0","0","True","False","none","True"
"368","False","0","False","False","True","13","0","0","0","True","False","none","True"
"369","False","0","False","False","True","15","0","0","0","True","False","none","True"
"370","False","0","False","False","True","16","0","0","0","True","False","none","True"
"371","False","0","False","False","True","5","0","0","0","True","False","none","True"
"372","False","0","False","False","True","5","0","0","0","True","False","none","True"
"373","False","0","False","False","True","6","0","0","0","True","False","none","True"
"374","False","0","False","False","True","2","0","0","0","True","False","none","True"
"375","False","0","False","False","True","46","0","0","0","False","False","none","True"
"376","False","0","False","False","True","1","0","0","0","True","False","none","True"
"377","False","0","False","False","True","1","0","0","0","True","False","none","True"
"378","False","0","False","False","True","1","0","0","0","True","False","none","True"
"379","False","0","False","False","True","15","0","0","0","False","False","none","True"
"380","False","0","False","True","True","3","0","0","0","False","False","none","True"
"381","False","0","False","False","True","2","0","0","0","False","False","none","True"
"382","False","0","False","False","True","3","0","0","0","False","False","none","True"
"383","False","0","False","False","True","15","0","0","0","True","False","none","True"
"384","False","0","False","False","True","3","0","0","0","True","False","none","True"
"385","False","0","False","False","True","12","0","0","0","True","False","none","True"
"386","False","0","False","False","True","4","0","0","0","False","False","none","True"
"387","False","0","False","False","True","15","0","0","0","True","False","none","True"
"388","False","0","False","False","True","12","0","0","0","True","False","none","True"
"389","False","0","False","False","True","20","0","0","0","False","False","none","True"
"390","False","0","False","False","True","6","0","0","0","True","False","none","True"
"391","False","0","False","False","True","6","0","0","0","True","False","none","True"
"392","False","0","False","False","True","47","0","0","0","True","False","none","True"
"393","True","0","False","False","True","58","0","0","0","False","False","none","True"
"394","False","0","False","False","True","4","0","0","0","True","False","none","True"
"395","False","0","False","False","True","4","0","0","0","True","False","none","True"
"396","True","0","False","False","True","5","0","0","0","True","False","none","True"
"397","False","0","False","False","True","4","0","0","0","True","False","none","True"
"398","False","0","False","False","True","2","0","0","0","True","False","none","True"
"399","False","0","False","False","True","4","0","0","0","True","False","none","True"
"400","False","0","False","False","True","3","0","0","0","True","False","none","True"
"401","False","0","False","False","True","7","0","0","0","True","False","none","True"
"402","False","0","False","False","True","5","0","0","0","True","False","none","True"
"403","False","0","False","False","True","2","0","0","0","True","False","none","True"
"404","False","0","False","False","True","2","0","0","0","True","False","none","True"
"405","False","0","False","False","True","7","0","0","0","True","False","none","True"
"406","False","0","False","False","True","5","0","0","0","False","False","none","True"
"407","False","0","False","False","True","6","0","0","0","True","False","none","True"
"408","False","0","False","False","True","6","0","0","0","True","False","none","True"
"409","False","0","False","False","True","1","0","0","0","True","False","none","True"
